assertion_id,pathway_id,node_ref,element_type,element_name,slot,mods,mode,flags,assertion_class,schedule_bearing,library_value
tchp:n0:agents,tchp,n0,phase,Docetaxel + carboplatin + trastuzumab + pertuzumab (TCHP),Phase 1 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,agents,Y,Docetaxel + carboplatin + trastuzumab + pertuzumab (TCHP) [Docetaxel + carbo + HER2 antibodies] {Chemotherapy; Targeted therapy}
tchp:n0:cycle_length,tchp,n0,phase,Docetaxel + carboplatin + trastuzumab + pertuzumab (TCHP),Phase 1 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,cycle_length,Y,21 days
tchp:n0:n_cycles,tchp,n0,phase,Docetaxel + carboplatin + trastuzumab + pertuzumab (TCHP),Phase 1 (Chemotherapy; Targeted therapy; cycles),Chemotherapy; Targeted therapy,cycles,,n_cycles,Y,6
tchp:n1:interval_duration,tchp,n1,interval,Recovery before surgery,Interval: Recovery before surgery,,,,interval_duration,Y,4 weeks (Recovery before surgery)
tchp:n2:procedure_identity,tchp,n2,procedure,Surgery,Procedure (Surgery),Surgery,,,procedure_identity,N,Surgery {Surgery}
tchp:n3:interval_duration,tchp,n3,interval,Healing after surgery,Interval: Healing after surgery,,,,interval_duration,Y,4 weeks (Healing after surgery)
tchp:n4:decision_condition,tchp,n4,decision,Pathology results,Decision 1,,,,decision_condition,N,What did the pathology report show?
tchp:n4:branch_set,tchp,n4,decision,Pathology results,Decision 1,,,,branch_set,N,No remaining cancer (complete response) | Some cancer remained
tchp:n4.b0.n0:agents,tchp,n4.b0.n0,phase,Trastuzumab + pertuzumab,Phase 2 (Targeted therapy; cycles) [branch: No remaining cancer (complete response)],Targeted therapy,cycles,,agents,Y,Trastuzumab + pertuzumab [HER2 antibodies (HP)] {Targeted therapy} [branch: No remaining cancer (complete response)]
tchp:n4.b0.n0:cycle_length,tchp,n4.b0.n0,phase,Trastuzumab + pertuzumab,Phase 2 (Targeted therapy; cycles) [branch: No remaining cancer (complete response)],Targeted therapy,cycles,,cycle_length,Y,21 days
