order,batch,pathway_id,disease,group,pathway_name,n_schedule_assertions,n_all_assertions
1,1,tchp,breast,HER2-positive,"TCHP, surgery, trastuzumab + pertuzumab",17,21
2,1,genomic,breast,"HR-positive, HER2-negative","Surgery, genomic test (Oncotype DX / MammaPrint), then chemotherapy only if the test shows benefit (choose TC or dose-dense AC-T)",21,25
3,1,db11,breast,HER2-positive,"DESTINY-Breast11: T-DXd then THP, surgery, HER2 therapy",21,25
4,1,natalee,breast,"HR-positive, HER2-negative","NATALEE: surgery, optional chemo (TC or dose-dense AC-T), then an aromatase inhibitor with ribociclib for 3 years",12,14
5,1,hrplus,breast,"HR-positive, HER2-negative","HR-positive high risk: surgery, optional chemo (TC or dose-dense AC-T), endocrine therapy + abemaciclib",12,14
6,1,ddac-t,breast,Triple-negative,"Surgery, dose-dense AC then weekly paclitaxel",10,12
7,1,ddac-t-hr,breast,"HR-positive, HER2-negative","Surgery, dose-dense AC then weekly paclitaxel, then endocrine therapy",10,12
8,1,tc4,breast,Triple-negative,"Surgery, then docetaxel + cyclophosphamide ×4 (TC)",7,9
9,1,kn522,breast,Triple-negative,"KEYNOTE-522: chemo + pembrolizumab, surgery, pembrolizumab (+ capecitabine per CREATE-X if cancer remains)",22,26
10,1,apt,breast,HER2-positive,"APT: surgery, weekly paclitaxel + trastuzumab, then trastuzumab",11,13
11,2,endo,breast,"HR-positive, HER2-negative","Surgery, radiation, endocrine therapy only",4,6
12,2,tc4-hr,breast,"HR-positive, HER2-negative","Surgery, then docetaxel + cyclophosphamide ×4 (TC), then endocrine therapy",7,9
13,2,anal,gi,Anal canal,"Anal canal: chemoradiation, response assessment, salvage surgery only if needed",5,10
14,2,tnt-lcrt,gi,Rectal,"Long-course chemoradiation and chemotherapy before surgery, then rectal resection",9,12
15,2,flot,gi,Esophageal and stomach,"Gastric/GEJ: FLOT + durvalumab, surgery, FLOT + durvalumab",19,21
16,2,rapido,gi,Rectal,"Rectal TNT: short-course radiation, CAPOX, surgery",9,11
17,2,atomic,gi,Colon,"ATOMIC: surgery, FOLFOX + atezolizumab, then atezolizumab (dMMR / MSI-high, stage III)",12,15
18,2,prodige23,gi,Rectal,"Rectal TNT: FOLFIRINOX, chemoradiation, surgery, FOLFOX",12,14
19,2,prodige24,gi,Pancreas,"Pancreatic: surgery, adjuvant mFOLFIRINOX",6,9
20,2,opra,gi,Rectal,"Rectal organ preservation: chemoradiation, FOLFOX, then watch-and-wait or surgery",9,14
21,3,capox,gi,Colon,"Colon stage III: surgery, CAPOX (3 or 6 months)",6,9
22,3,cross,gi,Esophageal and stomach,"Esophageal: CROSS chemoradiation, surgery, nivolumab if needed",11,16
23,3,alina,lung,"Non-small cell, operable","ALINA: surgery, alectinib for 2 years",4,8
24,3,pacific,lung,"Non-small cell, stage III","PACIFIC: chemoradiation, then durvalumab",6,7
25,3,adaura,lung,"Non-small cell, operable","ADAURA: surgery, chemo, osimertinib for 3 years",7,11
26,3,laura,lung,"Non-small cell, stage III","LAURA: chemoradiation, then osimertinib",5,7
27,3,cm816,lung,"Non-small cell, operable","CheckMate 816: chemo + nivolumab, then surgery",9,14
28,3,kn671,lung,"Non-small cell, operable","KEYNOTE-671: chemo + pembrolizumab, surgery, pembrolizumab",10,12
29,3,cm77t,lung,"Non-small cell, operable","CheckMate 77T: chemo + nivolumab, surgery, nivolumab",8,10
30,3,adriatic,lung,Small cell,"Limited-stage SCLC: chemoradiation, then durvalumab",12,13
31,4,kidney-surv,gu,Kidney,"Nephrectomy, then surveillance",2,5
