order,batch,pathway_id,pathway_name,trial,library_refs,sources_done_at,key_opened_at,minutes_spent,access_problems,reviewer
1,1,tchp,"TCHP, surgery, trastuzumab + pertuzumab","NCCN standard (NeoSphere, TRAIN-2, KATHERINE, DESTINY-Breast05)",Schneeweiss A et al. TRYPHAENA. Annals of Oncology 2013 || von Minckwitz G et al. KATHERINE: T-DM1 for residual disease. NEJM 2019,,,,,
2,1,genomic,"Surgery, genomic test (Oncotype DX / MammaPrint), then chemotherapy only if the test shows benefit (choose TC or dose-dense AC-T)",TAILORx / RxPONDER / MINDACT,Sparano JA et al. TAILORx: adjuvant chemotherapy guided by a 21-gene expression assay. NEJM 2018 || Kalinsky K et al. RxPONDER: 21-gene assay in node-positive breast cancer. NEJM 2021 || Cardoso F et al. MINDACT: 70-gene signature. NEJM 2016 || Johnston SRD et al. monarchE: adjuvant abemaciclib. JCO 2020 || Slamon D et al. NATALEE: adjuvant ribociclib. NEJM 2024,,,,,
3,1,db11,"DESTINY-Breast11: T-DXd then THP, surgery, HER2 therapy",DESTINY-Breast11,"Harbeck N et al. Neoadjuvant trastuzumab deruxtecan alone or followed by paclitaxel, trastuzumab, and pertuzumab for high-risk HER2-positive early breast cancer (DESTINY-Breast11). Annals of Oncology 2026;37:166-179 || Geyer CE et al. DESTINY-Breast05: T-DXd vs T-DM1 for residual disease. NEJM 2026",,,,,
4,1,natalee,"NATALEE: surgery, optional chemo (TC or dose-dense AC-T), then an aromatase inhibitor with ribociclib for 3 years",NATALEE,Hortobagyi GN et al. Adjuvant ribociclib plus endocrine therapy versus endocrine therapy alone in HR-positive/HER2-negative early breast cancer: final invasive disease-free survival results from NATALEE. Annals of Oncology 2025;36:149-157 || Slamon DJ et al. Rationale and trial design of NATALEE. Therapeutic Advances in Medical Oncology 2023;15:17588359231178125,,,,,
5,1,hrplus,"HR-positive high risk: surgery, optional chemo (TC or dose-dense AC-T), endocrine therapy + abemaciclib",monarchE,Johnston SRD et al. monarchE: abemaciclib plus endocrine therapy. JCO 2020 || Slamon D et al. NATALEE: ribociclib plus NSAI. NEJM 2024,,,,,
6,1,ddac-t,"Surgery, dose-dense AC then weekly paclitaxel",CALGB 9741 / ECOG 1199,Citron ML et al. CALGB 9741 dose-dense chemotherapy. JCO 2003 || Sparano JA et al. ECOG 1199 weekly paclitaxel. NEJM 2008,,,,,
7,1,ddac-t-hr,"Surgery, dose-dense AC then weekly paclitaxel, then endocrine therapy",CALGB 9741 / ECOG 1199,Citron ML et al. CALGB 9741 dose-dense chemotherapy. JCO 2003 || Sparano JA et al. ECOG 1199 weekly paclitaxel. NEJM 2008 || Early Breast Cancer Trialists' Collaborative Group. Aromatase inhibitors versus tamoxifen in early breast cancer: patient-level meta-analysis. Lancet 2015,,,,,
8,1,tc4,"Surgery, then docetaxel + cyclophosphamide ×4 (TC)",US Oncology 9735,Jones S et al. US Oncology 9735: docetaxel + cyclophosphamide vs AC. JCO 2009,,,,,
9,1,kn522,"KEYNOTE-522: chemo + pembrolizumab, surgery, pembrolizumab (+ capecitabine per CREATE-X if cancer remains)",KEYNOTE-522 and CREATE-X trials,Schmid P et al. Pembrolizumab for early triple-negative breast cancer. NEJM 2020 (KEYNOTE-522) || Schmid P et al. Overall survival with pembrolizumab in early-stage TNBC. NEJM 2024 || Masuda N et al. CREATE-X: adjuvant capecitabine for HER2-negative residual disease after neoadjuvant chemotherapy. NEJM 2017,,,,,
10,1,apt,"APT: surgery, weekly paclitaxel + trastuzumab, then trastuzumab",APT trial,Tolaney SM et al. APT trial: paclitaxel and trastuzumab for small HER2-positive cancers. NEJM 2015,,,,,
