order,batch,pathway_id,pathway_name,trial,disease,group,node_ref,element_type,slot,mods,mode,flags,assertion_id,assertion_class,schedule_bearing,source_value,source_used,source_depth,locator,date_consulted,library_value,classification,note
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",n0,procedure,Procedure (Surgery),Surgery,,,combiad:n0:procedure_identity,procedure_identity,N,,,,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",n1,interval,Interval: Healing after surgery,,,,combiad:n1:interval_duration,interval_duration,Y,,,,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",n2,phase,Phase 1 (Targeted therapy; daily),Targeted therapy,daily,,combiad:n2:agents,agents,Y,,,,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",n2,phase,Phase 1 (Targeted therapy; daily),Targeted therapy,daily,,combiad:n2:duration,duration,Y,,,,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",n2,phase,Phase 1 (Targeted therapy; daily),Targeted therapy,daily,,combiad:n2:frequency_text,frequency_text,N,,,,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",n3,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,combiad:n3:agents,agents,Y,,,,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",n3,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,combiad:n3:frequency_text,frequency_text,N,,,,,,,,
51,6,combiad,"Surgery, then dabrafenib + trametinib for one year (BRAF V600)",COMBI-AD,skin,"Stage II to III, after surgery",pathway,pathway,Sequence of steps,,,,combiad:pathway:sequence,sequence,N,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",n0,procedure,Procedure (Surgery),Surgery,,,mel-adj-io:n0:procedure_identity,procedure_identity,N,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",n1,interval,Interval: Healing after surgery,,,,mel-adj-io:n1:interval_duration,interval_duration,Y,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",n2,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,mel-adj-io:n2:agents,agents,Y,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",n2,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,mel-adj-io:n2:cycle_length,cycle_length,Y,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",n2,phase,Phase 1 (Immunotherapy; cycles),Immunotherapy,cycles,,mel-adj-io:n2:n_cycles,n_cycles,Y,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",n3,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,mel-adj-io:n3:agents,agents,Y,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",n3,phase,Phase 2 (Surveillance; ongoing),Surveillance,ongoing,open-ended,mel-adj-io:n3:frequency_text,frequency_text,N,,,,,,,,
52,6,mel-adj-io,"Surgery, then adjuvant pembrolizumab (or nivolumab) for one year",KEYNOTE-054 / KEYNOTE-716 / CheckMate 238,skin,"Stage II to III, after surgery",pathway,pathway,Sequence of steps,,,,mel-adj-io:pathway:sequence,sequence,N,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n0,procedure,Procedure (Surgery),Surgery,,,ruby:n0:procedure_identity,procedure_identity,N,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n1,interval,Interval: Healing after surgery,,,,ruby:n1:interval_duration,interval_duration,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n2,phase,Phase 1 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,ruby:n2:agents,agents,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n2,phase,Phase 1 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,ruby:n2:cycle_length,cycle_length,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n2,phase,Phase 1 (Chemotherapy; Immunotherapy; cycles),Chemotherapy; Immunotherapy,cycles,,ruby:n2:n_cycles,n_cycles,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n3,phase,Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,,ruby:n3:agents,agents,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n3,phase,Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,,ruby:n3:cycle_length,cycle_length,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n3,phase,Phase 2 (Immunotherapy; cycles),Immunotherapy,cycles,,ruby:n3:n_cycles,n_cycles,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n4,phase,Phase 3 (Surveillance; ongoing),Surveillance,ongoing,open-ended,ruby:n4:agents,agents,Y,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,n4,phase,Phase 3 (Surveillance; ongoing),Surveillance,ongoing,open-ended,ruby:n4:frequency_text,frequency_text,N,,,,,,,,
53,6,ruby,"Surgery, carboplatin + paclitaxel + dostarlimab ×6, then dostarlimab for up to 3 years (RUBY)",RUBY,gyn,Uterine and endometrial,pathway,pathway,Sequence of steps,,,,ruby:pathway:sequence,sequence,N,,,,,,,,
54,6,portec2,"Surgery, then vaginal brachytherapy (PORTEC-2)",PORTEC-2,gyn,Uterine and endometrial,n0,procedure,Procedure (Surgery),Surgery,,,portec2:n0:procedure_identity,procedure_identity,N,,,,,,,,
